Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,193.25,195.25,192.5,192.89999389648438,188.5813446044922,146362
2021-09-16,193.89999389648438,198.60000610351562,192.4499969482422,196.14999389648438,191.75857543945312,241979
2021-09-17,197.3000030517578,197.8000030517578,192.89999389648438,194.14999389648438,189.80335998535156,112236
2021-09-20,192.0,197.5,187.3000030517578,190.14999389648438,185.89291381835938,187269
2021-09-21,188.25,192.75,188.0500030517578,191.39999389648438,187.11492919921875,74342
2021-09-22,191.9499969482422,193.35000610351562,189.60000610351562,190.8000030517578,186.5283660888672,55544
2021-09-23,191.10000610351562,194.1999969482422,191.10000610351562,192.5500030517578,188.2391815185547,70426
2021-09-24,193.75,195.5,188.89999389648438,189.85000610351562,185.59963989257812,94225
2021-09-27,190.8000030517578,192.64999389648438,189.5,190.5,186.23507690429688,41792
2021-09-28,190.89999389648438,192.14999389648438,189.75,190.6999969482422,186.43060302734375,72270
2021-09-29,189.89999389648438,193.4499969482422,189.39999389648438,190.6999969482422,186.43060302734375,81883
2021-09-30,191.35000610351562,195.0,189.64999389648438,193.3000030517578,188.97239685058594,104529
2021-10-01,192.14999389648438,193.0,185.5,186.85000610351562,182.6667938232422,394350
2021-10-04,187.8000030517578,194.35000610351562,187.3000030517578,190.9499969482422,186.6750030517578,1635631
2021-10-05,191.0,200.5,191.0,197.6999969482422,193.2738800048828,783268
2021-10-06,198.9499969482422,204.1999969482422,193.60000610351562,195.1999969482422,190.82984924316406,636213
2021-10-07,197.89999389648438,213.89999389648438,197.89999389648438,211.8000030517578,207.05821228027344,1868928
2021-10-08,215.0,215.5500030517578,206.89999389648438,207.4499969482422,202.80560302734375,970755
2021-10-11,208.89999389648438,210.75,207.60000610351562,208.89999389648438,204.22312927246094,371891
2021-10-12,210.25,234.3000030517578,207.8000030517578,226.4499969482422,221.38021850585938,4510036
2021-10-13,227.4499969482422,239.3000030517578,224.10000610351562,226.4499969482422,221.38021850585938,1881639
2021-10-14,228.1999969482422,236.0,219.5,220.9499969482422,216.00335693359375,660152
2021-10-18,225.0,234.89999389648438,220.75,230.1999969482422,225.0462646484375,726416
2021-10-19,233.0,233.0,215.0,216.6999969482422,211.8485107421875,693189
2021-10-20,216.6999969482422,224.64999389648438,211.89999389648438,217.3000030517578,212.43508911132812,492502
2021-10-21,218.89999389648438,227.5,216.5,224.64999389648438,219.62051391601562,643957
2021-10-22,225.8000030517578,226.5,219.25,224.35000610351562,219.32725524902344,363321
2021-10-25,225.0,229.0,213.5500030517578,221.85000610351562,216.8832244873047,440610
2021-10-26,222.0,227.0,219.0500030517578,221.60000610351562,216.63880920410156,187252
2021-10-27,222.35000610351562,226.5500030517578,219.14999389648438,223.25,218.2518768310547,434429
2021-10-28,223.0500030517578,234.0,220.75,222.39999389648438,217.4208984375,626313
2021-10-29,222.0,225.8000030517578,216.14999389648438,219.3000030517578,214.3903045654297,279910
2021-11-01,224.0,224.0,218.0,220.1999969482422,215.27015686035156,144071
2021-11-02,220.1999969482422,227.5,218.0,225.89999389648438,220.842529296875,311139
2021-11-03,226.85000610351562,250.39999389648438,226.8000030517578,247.5,241.95895385742188,4133316
2021-11-04,250.10000610351562,266.79998779296875,250.10000610351562,262.5,256.6231384277344,1687486
2021-11-08,266.70001220703125,269.6000061035156,258.5,263.95001220703125,258.0406799316406,1873329
2021-11-09,264.8999938964844,265.95001220703125,255.0,258.25,252.46829223632812,705013
2021-11-10,258.25,267.3999938964844,250.6999969482422,252.5,246.84701538085938,908009
2021-11-11,253.60000610351562,274.79998779296875,253.5500030517578,272.79998779296875,266.6925354003906,3030158
2021-11-12,274.5,276.70001220703125,263.0,265.3999938964844,259.4582214355469,840486
2021-11-15,269.3999938964844,279.79998779296875,258.1000061035156,259.3500061035156,253.54367065429688,1480134
2021-11-16,258.0,266.0,257.3999938964844,262.04998779296875,256.1831970214844,417262
2021-11-17,260.70001220703125,264.25,250.6999969482422,253.8000030517578,248.117919921875,315660
2021-11-18,255.10000610351562,258.1499938964844,244.0,248.39999389648438,242.83880615234375,458717
2021-11-22,248.6999969482422,254.25,228.6999969482422,231.14999389648438,225.97499084472656,800413
2021-11-23,231.0,243.6999969482422,230.5,241.85000610351562,236.43545532226562,559410
2021-11-24,243.85000610351562,245.0,236.85000610351562,238.85000610351562,233.50262451171875,280170
2021-11-25,238.85000610351562,244.60000610351562,236.89999389648438,242.5500030517578,237.11978149414062,237843
2021-11-26,239.9499969482422,241.5,225.64999389648438,227.0,221.91790771484375,529308
2021-11-29,225.0500030517578,232.0,217.60000610351562,221.60000610351562,216.63880920410156,569865
2021-11-30,223.6999969482422,228.60000610351562,218.25,221.35000610351562,216.3944091796875,243366
2021-12-01,222.3000030517578,237.4499969482422,222.3000030517578,235.4499969482422,230.17872619628906,747684
