Date,Open,High,Low,Close,Adj Close,Volume
2021-08-06,5940.0,5957.9501953125,5748.7001953125,5802.5,5653.92822265625,19997
2021-08-09,5846.7001953125,6077.9501953125,5813.5498046875,5942.14990234375,5790.00244140625,30154
2021-08-10,5901.0,6099.0,5850.0,5925.89990234375,5774.16845703125,22369
2021-08-11,5925.0,5974.0,5751.0,5869.0,5718.7255859375,16609
2021-08-12,5836.0,5925.25,5836.0,5882.39990234375,5731.7822265625,8004
2021-08-13,5935.89990234375,6130.0,5935.0,6092.4501953125,5936.4541015625,75434
2021-08-16,6052.0,6079.89990234375,5850.0,5868.60009765625,5718.3359375,47327
2021-08-17,5869.0,5900.0,5750.0,5772.5,5624.6962890625,37427
2021-08-18,5772.5,5834.39990234375,5718.39990234375,5732.85009765625,5586.0615234375,27562
2021-08-20,5700.0,5710.0,5560.0,5596.89990234375,5453.59228515625,30515
2021-08-23,5614.9501953125,5671.10009765625,5440.0,5466.2998046875,5326.33642578125,13970
2021-08-24,5474.9501953125,5523.0498046875,5362.2001953125,5463.4501953125,5323.5595703125,15566
2021-08-25,5426.10009765625,5474.9501953125,5341.10009765625,5361.0498046875,5223.78125,19485
2021-08-26,5424.0,5435.64990234375,5252.0,5282.14990234375,5146.9013671875,25363
2021-08-27,5300.0,5380.0,5250.0,5293.5498046875,5158.009765625,32974
2021-08-30,5255.0,5413.5498046875,5255.0,5387.39990234375,5249.45654296875,18911
2021-08-31,5400.0,5568.7001953125,5387.39990234375,5542.39990234375,5400.48779296875,38347
2021-09-01,5555.0,5598.7001953125,5451.0,5498.64990234375,5357.8583984375,7712
2021-09-02,5549.0,5648.0,5498.7998046875,5555.5,5413.25244140625,19816
2021-09-03,5555.5,5598.9501953125,5462.4501953125,5480.7001953125,5340.3681640625,9181
2021-09-06,5490.0,5625.0,5385.2001953125,5426.0498046875,5287.1171875,26655
2021-09-07,5430.9501953125,5475.0,5346.0,5401.85009765625,5263.537109375,22932
2021-09-08,5390.14990234375,5438.9501953125,5351.0,5361.2998046875,5224.02490234375,14167
2021-09-09,5365.0,5426.0,5341.5498046875,5408.60009765625,5270.1142578125,7255
2021-09-13,5398.0,5489.0,5361.5498046875,5471.39990234375,5331.3056640625,11181
2021-09-14,5525.0,5525.0,5443.0,5466.14990234375,5326.1904296875,9050
2021-09-15,5540.0,5580.0,5322.0498046875,5512.7998046875,5371.64599609375,18118
2021-09-16,5476.2998046875,5593.0,5417.4501953125,5487.0,5346.50634765625,17427
2021-09-17,5481.0,5575.0,5340.0,5355.85009765625,5218.71484375,30884
2021-09-20,5389.9501953125,5440.0,5330.0,5347.2001953125,5210.2861328125,10967
2021-09-21,5326.0,5398.0,5326.0,5362.75,5225.43798828125,9591
2021-09-22,5362.75,5415.0,5315.0,5342.60009765625,5205.80419921875,10799
2021-09-23,5375.0,5440.75,5375.0,5405.0498046875,5266.65478515625,18415
2021-09-24,5425.0,5430.0,5335.0,5354.7001953125,5217.59423828125,53376
2021-09-27,5410.0,5410.0,5280.14990234375,5288.7998046875,5153.38134765625,17500
2021-09-28,5290.0,5349.0498046875,5280.0,5284.9501953125,5149.63037109375,12779
2021-09-29,5289.9501953125,5341.0,5276.0498046875,5289.60009765625,5154.1611328125,10229
2021-09-30,5294.9501953125,5345.0,5274.0498046875,5298.0498046875,5162.39453125,10417
2021-10-01,5275.0,5325.0,5267.85009765625,5276.39990234375,5141.298828125,6818
2021-10-04,5346.0,5350.0,5235.60009765625,5249.39990234375,5114.990234375,18335
2021-10-05,5249.39990234375,5288.7998046875,5201.10009765625,5211.2001953125,5077.7685546875,26201
2021-10-06,5201.0,5265.85009765625,5177.0,5189.64990234375,5056.77001953125,18964
2021-10-07,5215.0,5254.7998046875,5185.5,5195.85009765625,5062.8115234375,10263
2021-10-08,5218.0,5238.39990234375,5182.89990234375,5217.2001953125,5083.61474609375,9268
2021-10-11,5220.0,5237.2001953125,5184.0,5191.7001953125,5058.76806640625,9767
2021-10-12,5191.7001953125,5229.89990234375,5170.0,5188.5,5055.6494140625,8596
2021-10-13,5233.7001953125,5233.7001953125,5190.0498046875,5198.60009765625,5065.4912109375,8046
2021-10-14,5285.0,5285.0498046875,5200.0,5244.60009765625,5110.3134765625,11913
2021-10-18,5273.2998046875,5273.2998046875,5150.0,5204.0498046875,5070.80126953125,20924
2021-10-19,5204.0498046875,5227.4501953125,5167.0,5209.0,5075.62451171875,11513
2021-10-20,5214.9501953125,5214.9501953125,5126.0498046875,5149.5,5017.64794921875,25092
2021-10-21,5159.9501953125,5184.89990234375,5051.64990234375,5065.35009765625,4935.65283203125,11282
2021-10-22,5125.0,5157.0,5011.0,5024.35009765625,4895.70263671875,12611
2021-10-25,5022.0,5200.2001953125,4961.10009765625,4975.60009765625,4848.201171875,29030
2021-10-26,5000.0,5115.0,4976.14990234375,4997.2001953125,4869.248046875,30151
2021-10-27,5045.0,5094.0,4997.2001953125,5028.7998046875,4900.03857421875,8789
2021-10-28,4998.0,5058.9501953125,4975.0498046875,5006.2998046875,4878.11474609375,8342
2021-10-29,5006.2998046875,5045.9501953125,4975.5,4988.2998046875,4860.57568359375,13385
2021-11-01,5050.0,5078.0,5010.7998046875,5020.0498046875,4891.5126953125,13558
2021-11-02,4960.0,4970.0,4625.0,4650.0,4530.93798828125,177600
2021-11-03,4650.0,4739.5,4650.0,4725.60009765625,4604.60205078125,27906
2021-11-04,4749.9501953125,4775.0,4720.14990234375,4768.64990234375,4646.5498046875,6070
2021-11-08,4770.0,4849.89990234375,4742.4501953125,4838.5498046875,4714.65966796875,18541
2021-11-09,4866.0,4969.0,4838.5498046875,4921.2998046875,4795.291015625,25521
2021-11-10,4949.0,4960.0,4845.0498046875,4881.89990234375,4756.89990234375,20576
2021-11-11,4783.89990234375,4817.7998046875,4730.0,4752.10009765625,4752.10009765625,16762
2021-11-12,4755.0,4765.2001953125,4690.0,4700.2001953125,4700.2001953125,11497
2021-11-15,4690.0,4750.0,4640.0,4659.39990234375,4659.39990234375,12981
2021-11-16,4637.75,4669.0,4625.0,4635.5,4635.5,26035
2021-11-17,4634.10009765625,4703.9501953125,4596.0498046875,4623.2998046875,4623.2998046875,17076
2021-11-18,4625.0,4790.0,4575.0,4743.0,4743.0,99819
2021-11-22,4740.0,4761.0,4662.14990234375,4711.10009765625,4711.10009765625,15065
2021-11-23,4675.0,4747.0,4649.85009765625,4729.2001953125,4729.2001953125,6559
2021-11-24,4729.2001953125,4827.39990234375,4729.2001953125,4760.0,4760.0,69962
2021-11-25,4799.0,4825.0,4700.0,4713.7998046875,4713.7998046875,16695
2021-11-26,4710.0,4748.0,4640.0,4650.25,4650.25,9841
2021-11-29,4555.0498046875,4680.0,4512.0,4626.10009765625,4626.10009765625,9406
2021-11-30,4650.0,4721.0,4600.0,4604.0498046875,4604.0498046875,40761
2021-12-01,4609.9501953125,4689.0,4604.10009765625,4660.10009765625,4660.10009765625,34692
2021-12-02,4660.10009765625,4738.9501953125,4660.0498046875,4682.5498046875,4682.5498046875,79884
2021-12-03,4667.0,4721.0,4650.0,4678.2001953125,4678.2001953125,5977
2021-12-06,4653.0,4760.0,4653.0,4729.2998046875,4729.2998046875,36859
2021-12-07,4749.9501953125,4749.9501953125,4675.5,4726.75,4726.75,6773
2021-12-08,4706.75,4790.0,4706.75,4754.39990234375,4754.39990234375,6742
2021-12-09,4754.39990234375,4770.9501953125,4700.9501953125,4723.39990234375,4723.39990234375,2997
2021-12-10,4749.0,4749.85009765625,4712.5,4739.60009765625,4739.60009765625,3288
2021-12-13,4779.0,4779.0,4666.0,4749.75,4749.75,10349
2021-12-14,4749.5,4758.5,4704.0,4713.4501953125,4713.4501953125,3623
2021-12-15,4713.4501953125,4792.0,4690.2001953125,4745.7998046875,4745.7998046875,6835
2021-12-16,4715.0,4775.0,4705.0,4749.14990234375,4749.14990234375,40562
2021-12-17,4778.0,4851.0,4690.0,4826.0498046875,4826.0498046875,22388
2021-12-20,4848.0,4945.0,4731.0498046875,4913.14990234375,4913.14990234375,31938
2021-12-21,4949.85009765625,4949.85009765625,4810.0,4869.64990234375,4869.64990234375,14015
2021-12-22,4890.0,4890.0,4780.0,4803.75,4803.75,25692
2021-12-23,4805.0,4880.0,4805.0,4855.4501953125,4855.4501953125,5390
2021-12-24,4880.0,4900.0,4785.4501953125,4823.2998046875,4823.2998046875,7340
2021-12-27,4809.0,4885.0,4770.5498046875,4873.5,4873.5,5157
2021-12-28,4888.0,4945.0,4857.5,4898.89990234375,4898.89990234375,6566
2021-12-29,4882.25,4943.0,4878.0,4920.7001953125,4920.7001953125,11171
